,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,"1,871","1,992","2,592","1,925","2,059","2,137","1,996","1,971","2,134","2,028","2,237","2,279","2,573","2,521","2,642","14,999","3,118","3,216","2,886","2,511","3,553","3,125","3,217","3,162","2,147","2,988","2,019","3,380","3,329","3,738","4,035","3,057","3,549","3,396","-4,598","3,023","3,834","4,248","4,046","3,260"
Depreciation & Amortization,0,0,0,"8,019",0,0,0,"8,680",0,0,0,"9,426","2,468","2,507","2,104","2,609","2,599","2,403","2,477","3,197","3,320","3,276","3,180","3,177","3,264","3,264","3,320","3,252","3,362","3,383","3,477","3,582","3,548","3,468","3,333","3,472","3,777","3,538","3,492","3,529"
Share-Based Compensation,0,0,0,513,0,0,0,567,0,0,0,640,173,218,203,157,199,211,197,219,245,288,257,231,298,323,301,271,373,338,308,296,376,299,314,347,359,309,287,286
Other Operating Activities,"2,615","1,069","2,163","-5,814","3,186","1,452","2,983","-5,546","3,265","2,367","1,958","-6,643",411,-122,159,"-12,361",-442,"1,233",410,-137,113,351,"-1,463",-335,115,"2,068",-412,"-1,861",687,147,"-1,720",754,-216,-836,"7,897",-959,-742,-897,328,"-1,153"
Operating Cash Flow,"4,486","3,061","4,755","4,643","5,245","3,589","4,979","5,672","5,399","4,395","4,195","5,702","5,625","5,124","5,108","5,404","5,474","7,063","5,970","5,790","7,231","7,040","5,191","6,235","5,824","8,643","5,228","5,042","7,751","7,606","6,100","7,689","7,257","6,327","6,946","5,883","7,228","7,198","8,153","5,922"
Operating Cash Flow Growth,2.68%,-7.69%,19.05%,87.14%,16.92%,17.25%,4.71%,22.16%,2.94%,22.46%,-15.75%,0.53%,4.19%,16.59%,21.76%,-5.23%,-2.68%,37.84%,16.88%,7.14%,32.10%,-0.33%,-13.05%,7.69%,-19.46%,22.77%,0.71%,-19.13%,33.09%,-12.00%,16.68%,52.50%,-6.37%,-16.82%,13.87%,-23.49%,-0.40%,13.77%,17.38%,0.66%
Capital Expenditures,"-1,665","-2,068","-2,226","-2,626","-2,023","-2,339","-2,532","-3,153","-2,403","-2,701","-2,924","-3,109","-2,593","-2,862","-2,892","-3,297","-2,493","-2,880","-2,995","-3,801","-2,859","-3,024","-3,405","-4,256","-2,870","-3,014","-3,349","-4,358","-2,899","-3,091","-2,987","-4,056","-2,644","-3,177","-3,614","-4,662","-3,516","-3,792","-4,138","-4,231"
Acquisitions,300,-225,70,44,180,36,-82,"-1,487",-24,-102,"-3,778",193,-216,-182,-31,47,-89,114,14,"-38,117",-11,47,-9,489,-177,"2,021",62,200,241,-13,105,"-1,023",69,39,"1,089",776,343,26,41,251
Change in Investments,-37,-40,-68,-46,-32,-240,-440,-90,-338,-104,"-1,736","-1,268","-1,011",-757,-176,-348,-139,-399,-302,-417,-439,"-1,166",-92,-202,-69,-402,-74,-267,-52,-34,-36,-52,-66,"-1,098",-925,-185,-149,-444,-356,"8,246"
Other Investing Activities,-103,-50,32,-25,181,1,86,-30,56,-212,114,71,67,147,583,-12,429,151,-1,71,83,-45,8,40,15,18,-134,351,98,119,143,91,44,41,84,89,-48,52,263,291
Investing Cash Flow,"-1,505","-2,383","-2,192","-2,653","-1,694","-2,542","-2,968","-4,760","-2,709","-3,119","-8,324","-4,113","-3,753","-3,654","-2,516","-3,610","-2,292","-3,014","-3,284","-42,264","-3,226","-4,188","-3,498","-3,929","-3,101","-1,377","-3,495","-4,074","-2,612","-3,019","-2,775","-5,040","-2,597","-4,195","-3,366","-3,982","-3,370","-4,158","-4,190","4,557"
Dividends Paid,-508,-584,-584,-578,-572,-628,-623,-614,-611,-670,-663,-657,-657,-747,-743,-736,-738,-878,-871,-865,-869,-954,-955,-957,-977,"-1,051","-1,058","-1,054","-1,080","-1,150","-1,157","-1,145","-1,166","-1,211","-1,194","-1,170","-1,174","-1,213","-1,199","-1,180"
Share Issuance / Repurchase,-730,-741,-746,"-1,999","-1,972","-1,581","-2,182","-1,404","-1,415","-1,202","-1,421","-1,291",-996,"-1,480","-1,736","-1,223","-1,729","-1,269","-1,284","-1,038",-247,-103,-82,-72,-233,-36,-160,-105,-309,-648,"-1,660","-2,055","-3,223","-3,065","-3,525","-3,515","-2,176","-2,051","-3,543","-3,521"
Debt Issued / Paid,-437,-882,"1,892",-70,"-1,059","1,252",-770,"1,820","2,737",-330,"4,440","1,122",548,"1,753","1,331",-435,"1,876","-1,921","8,399","28,008","-3,150","-1,444",-978,584,"1,842","1,058","-1,332","-1,701",68,"-5,470","-1,124","-2,344",13,-101,-47,"1,233",350,"2,033",-38,"-6,143"
Other Financing Activities,30,4,-107,20,79,-541,-29,-312,-68,-37,-85,-283,-36,"-2,320",-38,-57,15,-316,-150,-99,-59,94,-79,90,-258,"-1,870",484,-62,-577,102,59,-128,-114,231,103,567,-82,-179,136,130
Financing Cash Flow,"-1,645","-2,203",455,"-2,627","-3,524","-1,498","-3,604",-510,643,"-2,239","2,271","-1,109","-1,141","-2,794","-1,186","-2,451",-576,"-4,384","6,094","26,006","-4,325","-2,407","-2,094",-355,374,"-1,899","-2,066","-2,922","-1,898","-7,166","-3,882","-5,672","-4,490","-4,146","-4,663","-2,885","-3,082","-1,410","-4,644","-10,714"
Exchange Rate Effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-245,8,-23,-16,36,-77,0,94,-15,-33,21,-3,-56,-35,-41,-46,36,20,-6,-32,27
