,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,408,757,372,376,367,321,232,262,390,333,185,224,300,267,206,"6,994","7,309",812,392,531,986,745,"1,321",813,"1,552","1,453","1,683","1,893","2,091","2,008","2,834","3,116","3,905","4,162","2,575","2,422","3,731","2,594","3,027","2,383"
Cash & Cash Equivalents,408,757,372,376,367,321,232,262,390,333,185,224,300,267,206,"6,994","7,309",812,392,531,986,745,"1,321",813,"1,552","1,453","1,683","1,893","2,091","2,008","2,834","3,116","3,905","4,162","2,575","2,422","3,731","2,594","3,027","2,383"
Cash Growth,-66.03%,-67.92%,-0.80%,-14.35%,-10.05%,-57.60%,-37.63%,-30.32%,6.27%,3.74%,-20.26%,-14.50%,-23.08%,-19.82%,11.35%,3022.32%,2336.33%,204.12%,90.29%,-92.41%,-86.51%,-8.25%,236.99%,53.11%,57.40%,95.03%,27.40%,132.84%,34.73%,38.20%,68.39%,64.61%,86.75%,107.27%,-9.14%,-22.27%,-4.46%,-37.67%,17.55%,-1.61%
Receivables,"1,371","1,341","1,525","1,464","1,433","1,431","1,505","1,556","1,479","1,520","1,574","1,545","1,495","1,560","1,758","1,652","1,838","2,654","2,747","2,578","2,620","2,625","2,854","2,695","2,633","2,564","2,473","2,444","2,537","2,476","2,657","2,462","2,446","2,426","7,049","6,669","6,380","6,833","6,770","6,312"
Other Current Assets,631,642,674,744,691,717,731,901,727,814,789,914,707,764,806,831,844,"1,055",767,805,625,655,757,805,"1,032",609,561,"1,141","1,502","1,381","1,237","1,078",913,585,"5,825","3,581","3,888","4,300","3,976","4,136"
Total Current Assets,"2,410","2,740","2,571","2,584","2,491","2,469","2,468","2,719","2,596","2,667","2,548","2,683","2,502","2,591","2,770","9,477","9,991","4,521","3,906","3,914","4,231","4,025","4,932","4,313","5,217","4,626","4,717","5,478","6,130","5,865","6,728","6,656","7,264","7,173","15,449","12,672","13,999","13,727","13,773","12,831"
"Property, Plant & Equipment",514,522,538,525,554,534,509,500,488,466,455,464,482,504,514,523,597,928,784,810,800,802,828,856,951,"1,040","1,088","1,125","1,206","1,189","1,239","1,310","1,336","1,328","5,597","5,143","5,301","5,325","5,473","5,810"
Long-Term Investments,"1,087","1,080",828,667,644,618,600,562,567,529,535,515,557,690,700,754,335,"1,231","1,023","1,015",935,955,542,529,568,542,530,536,507,0,0,0,0,0,0,0,0,0,0,0
Goodwill and Intangibles,"11,066","11,095","12,303","12,818","12,509","12,308","12,345","12,360","12,237","12,306","12,200","12,267","11,951","11,999","12,064","12,258","11,466","27,669","27,103","26,643","26,062","25,865","25,982","25,394","25,425","25,143","24,731","24,583","24,681","24,487","24,347","23,683","23,061","22,754","113,117","109,482","106,072","103,370","100,888","97,055"
Other Long-Term Assets,-98,-126,-135,-221,-228,-147,-193,-222,-24,-90,-48,-79,180,78,101,131,166,309,676,530,522,797,"1,561","1,733","1,574","2,039","2,023","1,716","1,563","2,084","2,258","2,669","2,766","2,544","8,077","8,752","8,629","8,162","8,484","8,053"
Total Long-Term Assets,"12,569","12,571","13,534","13,789","13,479","13,313","13,261","13,200","13,268","13,211","13,142","13,167","13,170","13,271","13,379","13,666","12,564","30,137","29,586","28,998","28,319","28,419","28,913","28,512","28,518","28,764","28,372","27,960","27,957","27,760","27,844","27,662","27,163","26,626","126,791","123,377","120,002","116,857","114,845","110,918"
Total Assets,"14,979","15,311","16,105","16,373","15,970","15,782","15,729","15,919","15,864","15,878","15,690","15,850","15,672","15,862","16,149","23,143","22,555","34,658","33,492","32,912","32,550","32,444","33,845","32,825","33,735","33,390","33,089","33,438","34,087","33,625","34,572","34,318","34,427","33,799","142,240","136,049","134,001","130,584","128,618","123,749"
