,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"15,161","15,894","16,311","16,270","16,596","16,880","16,612","16,248","16,152","17,660","18,798","18,201","24,254","23,855","24,918","24,467","25,737","27,687","24,712","23,659","20,089","21,751","23,235","21,115","22,400","13,491","13,337","11,813","16,332","19,503","18,695","19,217","19,763","21,871","28,597","30,964","25,039","20,063","20,528","20,984","22,954"
Market Cap Growth,20.28%,19.69%,13.14%,11.79%,9.46%,6.20%,1.84%,-0.13%,-2.67%,4.62%,13.16%,12.02%,50.16%,35.08%,32.55%,34.43%,6.11%,16.06%,-0.83%,-3.30%,-21.94%,-21.44%,-5.97%,-10.75%,11.50%,-37.98%,-42.60%,-44.05%,-27.09%,44.56%,40.18%,62.67%,21.01%,12.15%,52.97%,61.13%,26.70%,-8.27%,-28.22%,-32.23%,-
Enterprise Value,"17,207","17,313","18,915","16,296","17,951","19,924","21,544","20,634","19,976","19,044","19,775","16,516","27,590","23,896","27,894","25,571","27,553","30,476","28,294","26,274","23,222","24,960","25,439","19,317","20,822","9,677","-2,533","-4,369","-4,443","-9,607","-12,990","-17,105","-19,914","-12,072","-2,392","7,694","6,080","10,397","6,897","2,955","4,925"
PE Ratio,14.27,15.60,17.15,17.54,16.96,17.13,16.81,16.35,16.35,16.91,17.18,15.64,19.82,18.69,18.82,18.36,19.39,20.79,17.12,14.67,10.94,11.07,11.94,11.11,12.11,8.24,9.47,9.08,12.77,13.39,11.18,10.71,11.12,12.95,19.83,19.52,13.24,9.01,7.14,7.19,7.94
PS Ratio,3.48,3.66,3.78,3.78,3.83,3.88,3.77,3.69,3.59,3.77,3.91,3.62,4.75,4.62,4.76,4.60,4.71,4.99,4.39,4.14,3.47,3.67,3.87,3.50,3.72,2.35,2.49,2.29,3.17,3.61,3.24,3.20,3.26,3.65,4.61,4.57,3.27,2.36,2.21,2.25,2.46
PB Ratio,1.34,1.34,1.34,1.32,1.35,1.35,1.31,1.26,1.00,1.08,1.14,1.11,1.47,1.47,1.53,1.50,1.58,1.76,1.59,1.53,1.30,1.40,1.48,1.34,1.43,0.85,0.84,0.73,1.01,1.19,1.12,1.10,1.10,1.22,1.11,1.23,0.99,0.79,0.80,0.80,0.88
P/FCF Ratio,18.89,23.89,24.65,14.67,16.18,18.15,14.72,10.78,9.73,10.74,10.81,12.45,22.55,12.50,12.24,11.81,9.52,14.47,15.31,10.85,10.08,11.45,12.19,13.04,10.28,9.99,7.33,11.02,26.47,9.62,9.05,7.54,7.70,7.62,8.23,7.50,5.74,5.79,5.79,5.52,6.04
P/OCF Ratio,16.26,19.99,20.77,13.52,15.10,16.94,13.99,10.33,9.27,10.19,10.25,11.62,20.50,11.80,11.55,11.24,9.25,13.98,14.71,10.49,9.61,10.77,11.34,11.88,9.50,8.70,6.64,9.41,20.69,8.95,8.54,7.16,7.28,7.25,7.80,7.17,5.47,5.41,5.44,5.17,5.66
Debt / Equity Ratio,0.47,0.55,0.62,0.75,0.75,0.85,0.82,0.80,0.79,0.74,0.65,0.64,0.59,0.51,0.57,0.54,0.51,0.65,0.75,0.68,0.83,0.77,0.78,0.79,0.45,0.40,0.40,0.34,0.27,0.22,0.21,0.21,0.20,0.20,0.16,0.17,0.30,0.57,0.59,0.53,0.53
Return on Capital (ROIC),Upgrade,7.05%,6.16%,5.41%,4.85%,5.49%,5.14%,5.20%,5.16%,4.14%,4.42%,4.80%,5.14%,5.67%,6.27%,6.17%,6.33%,6.24%,6.16%,6.50%,7.72%,7.49%,8.10%,7.93%,7.68%,9.34%,8.67%,7.62%,7.39%,7.67%,8.80%,9.79%,10.04%,9.87%,9.55%,6.12%,6.81%,7.19%,6.88%,8.26%,8.62%
