,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"4,460","2,705","2,032","1,185","1,033","1,618","1,328","1,475",931,"1,322","1,064",744,878,486,740,"1,211","1,528","1,840","2,386",532,401,358,"1,308",512,888,"1,633","2,578","2,484","1,765","1,463","1,383","1,898","1,477","1,794","1,066","1,486","2,156","1,804","2,494","2,844"
Short-Term Investments,0,"1,402","1,299","1,544","1,593","1,478","1,989","1,602","1,064","1,332","1,023","1,090","1,147","1,176","1,278","1,295","1,307","1,042",933,944,892,423,52,53,196,199,651,361,702,383,136,36,9,0,0,0,0,0,0,0
Cash & Cash Equivalents,"4,460","4,107","3,331","2,729","2,626","3,096","3,317","3,077","1,995","2,654","2,087","1,834","2,025","1,662","2,018","2,506","2,835","2,882","3,319","1,476","1,293",781,"1,360",565,"1,084","1,832","3,229","2,845","2,467","1,846","1,519","1,934","1,486","1,794","1,066","1,486","2,156","1,804","2,494","2,844"
Cash Growth,62.95%,42.36%,2.97%,-38.23%,-41.12%,-24.62%,-0.42%,12.75%,-24.03%,-14.28%,-37.08%,-40.40%,1.50%,-37.38%,-3.31%,36.64%,40.00%,73.41%,64.47%,-41.10%,-54.39%,-72.90%,-59.02%,-61.72%,-16.16%,134.57%,137.43%,403.54%,127.58%,0.76%,-52.96%,-32.02%,-39.76%,-2.82%,-29.82%,-23.16%,45.09%,0.56%,133.96%,91.39%
Receivables,"4,030","4,141","4,264","4,105","3,448","3,089","3,373","2,924","2,517","2,683","2,806","2,852","2,842","3,292","3,086","3,275","3,539","3,859","3,889","4,087","3,503","3,680","3,758","3,469","3,102","3,043","2,588","2,974","3,441","3,961","4,897","5,251","4,808","5,391","5,407","4,329","3,593","3,901","3,811","3,841"
Inventory,"5,279","5,589","5,326","5,359","4,517","4,267","4,179","4,138","4,051","3,978","4,009","4,015","3,809","3,875","4,007","4,177","4,217","4,257","4,096","4,596","4,515","4,496","4,685","4,446","4,588","3,973","3,768","4,005","4,344","4,632","4,840","4,982","4,901","4,979","5,097","5,153","4,804","5,158","5,195","4,911"
Other Current Assets,830,"1,156",784,739,"1,054","1,195","1,121","1,059","1,226","1,009","1,081",852,923,852,964,"1,104","1,147","1,070","1,045","1,224","1,255","1,329","1,285","1,150",736,844,892,935,"1,382","1,525","1,641","1,819","1,022","1,127","1,275","1,360","1,292","1,161","1,193","1,632"
Total Current Assets,"14,599","14,993","13,705","12,932","11,645","11,647","11,990","11,198","9,789","10,324","9,983","9,553","9,599","9,681","10,075","11,062","11,738","12,068","12,349","11,383","10,566","10,286","11,088","9,630","9,510","9,692","10,477","10,759","11,634","11,964","12,897","13,986","12,217","13,291","12,845","12,328","11,845","12,024","12,693","13,228"
"Property, Plant & Equipment","8,457","8,556","8,740","8,600","8,758","8,430","8,636","8,793","8,991","9,373","9,681","10,057","10,137","10,361","10,551","10,737","10,997","11,249","11,310","12,022","12,477","14,331","14,845","15,179","15,598","15,840","15,951","15,519","15,878","15,856","16,279","16,625","16,502","16,634","16,604","16,592","17,112","17,078","16,972","16,703"
Long-Term Investments,"2,114","2,179","2,178","2,141","2,064","1,992","2,095","2,084","2,127","2,150","2,018","2,097","2,010","2,101","2,036","2,091","2,072","2,213","2,050","2,148","2,103","2,137","2,112","2,119","2,106","2,058","2,105","2,620","4,729","4,794","4,902","4,888","4,786","4,743","4,544","4,386","4,295","4,266","4,152","4,056"
