,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"11,363","11,590","11,868","15,325","18,164","23,529","22,806","27,771","30,198","27,065","32,631","27,946","25,317","26,161","28,209","31,391","35,693","32,404","32,242","32,201","27,217","29,645","34,696","31,636","34,170","30,206","36,501","42,297","48,822","48,108","48,284","46,981","50,819","42,296","49,101","45,818","52,973","56,431","60,123","55,466","57,245"
Market Cap Growth,25.49%,46.65%,17.55%,75.21%,59.85%,103.02%,92.17%,81.21%,66.25%,15.03%,43.08%,0.63%,-16.16%,-3.34%,-13.55%,12.33%,40.99%,23.86%,14.30%,2.58%,-23.75%,-8.51%,7.61%,-1.76%,25.55%,1.89%,5.20%,33.70%,42.88%,59.27%,32.28%,11.07%,4.09%,-12.08%,1.69%,-2.48%,4.24%,33.42%,22.45%,21.06%,-
Enterprise Value,"10,750","10,839","11,040","14,329","17,012","22,519","19,875","24,986","27,278","24,029","32,152","27,347","24,719","25,375","27,107","30,296","34,493","31,310","31,373","31,032","26,261","28,786","33,473","30,354","32,869","29,301","35,354","40,649","46,787","45,977","45,757","44,071","47,772","39,602","46,671","43,209","50,345","53,417","56,880","52,509","54,288"
PE Ratio,33.55,31.29,29.34,35.32,37.59,59.97,47.48,52.07,55.23,38.33,49.34,41.19,35.52,35.99,36.87,39.62,43.49,37.73,35.58,33.71,27.41,28.55,32.71,28.97,30.84,26.85,31.91,35.46,34.64,33.27,31.39,30.75,36.89,31.18,40.05,37.83,44.45,43.58,41.89,35.43,37.05
PS Ratio,5.06,5.04,5.04,6.39,7.37,9.21,8.90,10.35,11.09,9.75,11.21,9.50,8.30,8.41,8.84,9.48,10.59,9.32,8.99,8.72,7.15,7.60,8.70,7.70,8.13,7.00,8.48,9.57,10.62,10.06,9.38,8.84,9.17,7.27,8.17,7.36,8.39,8.69,8.99,8.01,8.27
PB Ratio,11.45,10.51,9.45,11.05,11.99,16.02,4.70,5.97,6.28,5.42,10.22,8.22,7.60,7.41,7.47,8.33,9.16,8.36,8.94,8.27,7.54,8.02,8.55,7.70,8.19,7.80,8.65,9.14,9.46,8.81,8.18,7.52,7.74,6.16,7.21,6.72,7.54,7.63,7.67,7.05,7.27
P/FCF Ratio,37.99,29.82,25.94,35.18,32.03,43.68,48.73,54.97,62.76,55.86,57.62,54.96,42.42,39.08,32.80,32.49,39.84,37.64,36.94,33.95,24.94,27.78,32.88,29.08,34.01,28.42,37.66,37.73,37.62,37.45,33.04,35.99,46.21,46.52,87.81,70.08,78.26,51.86,45.17,39.83,41.11
P/OCF Ratio,33.22,26.79,23.67,32.38,30.40,41.72,45.68,51.22,57.77,51.13,53.54,47.23,36.10,33.34,28.58,29.32,36.14,34.34,33.73,31.60,23.42,26.09,31.11,27.23,30.68,25.57,33.20,34.06,35.79,35.68,31.97,34.98,43.97,43.16,70.16,56.08,59.67,42.99,39.55,35.06,36.19
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Quick Ratio,2.88,2.88,3.03,3.59,4.03,2.47,6.97,6.58,8.28,6.62,2.15,2.52,2.49,2.89,2.92,2.73,2.95,3.04,2.38,2.73,2.40,2.34,2.74,2.73,2.83,2.29,2.86,3.12,3.64,3.75,3.90,4.06,4.12,3.61,3.33,3.30,3.68,3.58,3.97,3.60,3.60
Current Ratio,3.74,3.56,3.67,4.36,4.65,3.35,7.97,7.43,8.77,7.02,2.60,3.28,3.04,3.44,3.35,3.24,3.72,3.82,2.98,3.28,3.00,3.02,3.30,3.31,3.50,2.92,3.51,3.65,4.19,4.35,4.45,4.70,4.85,4.54,4.30,4.19,4.76,4.46,4.86,4.51,4.51
Interest Coverage,-,-,-,-,-,-,-,86.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.39,-,545.65,-,-,-,-,-,-,-,-,-,-,-
Return on Capital (ROIC),Upgrade,34.67%,33.97%,32.37%,31.46%,31.96%,26.76%,7.84%,9.34%,9.29%,12.15%,20.75%,19.96%,21.52%,20.70%,20.41%,21.07%,21.01%,22.07%,24.98%,24.40%,27.27%,27.68%,25.75%,26.19%,26.12%,28.62%,26.83%,25.64%,27.28%,26.48%,26.02%,24.42%,20.84%,19.67%,18.01%,17.73%,17.00%,17.33%,17.92%,18.79%
Buyback Yield / Dilution,1.54%,-0.68%,-0.35%,-0.19%,-0.91%,-0.02%,-4.28%,-19.41%,-17.62%,-19.06%,-12.98%,6.57%,6.06%,6.23%,6.00%,0.84%,0.99%,1.36%,2.02%,3.18%,3.14%,4.50%,3.20%,2.06%,2.76%,1.41%,3.11%,2.76%,1.31%,1.02%,-0.82%,-0.50%,-0.32%,-0.11%,0.14%,0.49%,1.27%,1.12%,0.89%,0.62%,0.62%
