,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Long-Term Debt,"10,924","10,834","11,054","10,655","10,524","10,474","10,501","10,672","10,400","10,197","10,015","10,364","10,740","12,014","11,612","12,302","12,699","13,185","13,499","13,334","17,715","18,115","18,174","18,027","18,311","18,627","19,747","28,475","31,186","32,642","39,156","38,339","36,595","35,517","34,873","33,897","33,701","33,264","32,933","32,144"
Other Long-Term Liabilities,"10,797","10,681","10,712","10,628","11,167","11,640","10,934","9,154","9,081","8,956","8,695","8,271","8,455","8,320","8,245","8,206","8,150","8,314","8,461","8,350","7,428","7,387","7,578","7,180","7,831","8,923","10,242","9,920","9,677","9,647","8,925","8,589","8,247","8,109","8,100","8,184","6,769","6,850","7,128","7,400"
Total Long-Term Liabilities,"21,721","21,515","21,766","21,283","21,691","22,114","21,435","19,826","19,481","19,153","18,710","18,635","19,195","20,334","19,857","20,508","20,849","21,499","21,960","21,684","25,143","25,502","25,752","25,207","26,142","27,550","29,989","38,395","40,863","42,289","48,081","46,928","44,842","43,626","42,973","42,081","40,470","40,114","40,061","39,544"
Total Liabilities,"33,828","34,606","35,100","34,147","34,199","36,083","35,245","33,314","31,895","32,533","32,692","31,888","31,481","32,996","33,453","33,595","33,612","35,682","36,052","35,368","38,982","40,837","41,830","40,898","41,080","43,637","46,384","54,186","53,588","56,456","66,145","63,863","63,146","65,414","66,417","64,070","60,462","63,749","65,636","64,300"
Total Debt,"12,409","12,124","12,320","12,094","11,947","12,286","11,659","12,121","11,759","11,606","11,415","11,457","11,705","12,843","13,163","13,943","14,392","14,964","14,503","14,380","19,787","20,088","20,183","20,140","20,450","23,429","24,892","33,818","33,909","35,227","41,764","41,293","41,063","40,298","39,420","38,376","37,300","37,184","37,344","36,706"
Debt Growth,-5.75%,-0.19%,2.96%,0.29%,-3.72%,1.34%,-5.37%,0.22%,-1.57%,-5.53%,-2.09%,-5.48%,-0.46%,10.66%,15.31%,21.70%,22.96%,16.51%,10.18%,3.13%,37.49%,34.24%,39.16%,40.06%,3.35%,16.63%,23.33%,67.91%,65.81%,50.36%,67.78%,22.10%,21.10%,14.40%,-5.61%,-7.06%,-9.16%,-7.73%,-5.27%,-4.35%
Common Stock,"7,391","7,623","7,593","7,387","7,358","7,360","7,116","6,855","6,340","4,847","4,160","3,914","6,061","5,749","5,344","4,803","5,332","4,766","4,374","4,355","4,130","3,596","3,077","2,730","2,533","2,198","3,411","3,488","4,473","5,093","5,214","5,284","5,346","5,405","5,423","5,441","5,456","5,487","5,507","5,530"
Retained Earnings,"-5,015","-5,624","-4,835","-3,911","-3,883","-3,375","-2,182","2,634","3,457","3,770","4,358","5,323","3,427","3,536","4,354","4,991","4,549","4,684","5,367","6,203","6,715","6,999","8,050","9,075","9,716","7,991","6,365","4,524","2,626","1,239",804,"1,271",625,-844,-515,421,"1,265","1,020","2,095","3,232"
Comprehensive Income,608,580,589,388,"-1,079",-977,-812,-934,-831,-777,-734,-798,-829,-836,-844,-824,"-1,147","-1,114","-1,102","-1,089",-803,-793,-807,-504,-718,-771,"-1,259","-1,009","-1,139","-1,126","-1,114","-1,124",-942,-937,-944,-964,175,161,103,91
Shareholders' Equity,"2,984","2,579","3,347","3,864","2,396","3,008","4,122","8,555","8,966","7,840","7,784","8,439","8,659","8,449","8,854","8,970","8,734","8,336","8,639","9,469","10,042","9,802","10,320","11,301","11,531","9,418","8,517","7,003","5,960","5,206","4,904","5,431","5,029","3,624","3,964","4,898","6,896","6,668","7,705","8,853"
Net Cash / Debt,"-6,893","-6,711","-6,173","-6,264","-7,287","-6,407","-6,460","-6,316","-6,359","-7,472","-6,606","-6,478","-7,153","-8,335","-8,399","-9,519","-10,503","-10,394","-9,338","-9,340","-15,732","-15,918","-14,634","-14,914","-15,400","-18,102","-17,356","-19,868","-21,753","-21,780","-20,226","-21,402","-22,407","-21,364","-19,098","-19,412","-20,631","-19,630","-17,930","-18,988"
Working Capital,"-3,405","-4,303","-3,715","-3,639","-4,961","-4,460","-5,017","-3,391","-4,586","-6,156","-6,138","-5,283","-4,977","-4,938","-5,348","-5,210","-5,630","-5,896","-5,211","-5,013","-6,745","-7,727","-7,168","-7,158","-6,744","-8,182","-6,354",685,"2,075","1,852","6,609","6,122","3,530",824,927,700,66,"-2,049","-2,269","-2,844"
Book Value Per Share,8.25,6.94,8.96,10.34,6.49,7.83,10.79,22.65,24.05,21.81,23.11,26.18,27.29,26.85,28.59,29.48,29.48,29.28,31.16,34.73,36.86,36.75,39.22,43.99,45.57,37.98,29.32,24.07,20.48,16.35,15.16,16.78,15.53,11.16,12.13,14.99,21.09,20.39,23.49,26.99
